AutoNum,playerID,birthyear,yearID,salary,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,SF,SH,HBP,IBB
52,bellda01,1972,2006,4700000,2,MIL,NL,53,180,21,46,10,2,4,29,2,1,18,30,7,2,0,1,1
53,bellhma01,1974,2006,800000,1,SDN,NL,115,253,26,48,11,2,8,27,0,0,32,90,3,1,0,2,0
54,belliro01,1975,2006,4000000,1,CLE,AL,93,350,43,102,21,0,8,44,2,0,21,45,8,2,2,4,0
55,belliro01,1975,2006,4000000,2,SLN,NL,54,194,20,46,9,1,5,23,0,3,15,36,9,0,1,1,2
56,beltrad01,1979,2006,12900000,1,SEA,AL,156,620,88,166,39,4,25,89,11,5,47,118,15,3,1,10,4
57,beltrca01,1977,2006,13571428,1,NYN,NL,140,510,127,140,38,1,41,116,18,3,95,99,6,7,1,4,6
58,benitar01,1972,2006,6271206,1,SFN,NL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,bennega01,1972,2006,800000,1,SLN,NL,60,157,13,35,5,0,4,22,0,0,11,30,3,0,2,0,2
60,benoijo01,1977,2006,775000,1,TEX,AL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,bensokr01,1974,2006,8333333,1,BAL,AL,30,9,1,1,0,0,1,2,0,0,0,3,0,0,0,0,0
62,bergmja01,1981,2006,327000,1,WAS,NL,29,8,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0
63,berkmla01,1976,2006,14500000,1,HOU,NL,152,536,95,169,29,0,45,136,3,2,98,106,11,8,0,4,22
64,berroan01,1978,2006,2000000,1,KCA,AL,132,474,45,111,18,1,9,54,3,1,14,88,21,3,9,3,1
65,betanra01,1975,2006,365300,1,CLE,AL,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,betanyu01,1982,2006,677500,1,SEA,AL,157,558,68,161,28,6,8,47,11,8,17,54,10,1,7,1,0
67,betemwi01,1981,2006,345000,1,ATL,NL,88,199,30,56,16,0,9,29,2,1,19,57,4,0,1,0,3
68,betemwi01,1981,2006,345000,2,LAN,NL,55,174,19,42,7,0,9,24,1,0,17,45,7,2,0,0,3
69,bigbila01,1977,2006,900000,1,SLN,NL,17,25,2,6,1,0,0,1,0,0,3,9,1,0,0,0,0
70,biggicr01,1965,2006,4000000,1,HOU,NL,145,548,79,135,33,0,21,62,3,2,40,84,15,5,5,9,1
71,blakeca01,1973,2006,3050000,1,CLE,AL,109,401,63,113,20,1,19,68,6,0,45,93,11,5,1,4,5
72,blaloha01,1980,2006,3050000,1,TEX,AL,152,591,76,157,26,3,16,89,1,0,51,98,15,2,0,2,6
73,blanche01,1971,2006,1500000,1,CHN,NL,74,241,23,64,15,2,6,37,0,0,14,38,8,2,4,0,1
74,blantjo01,1980,2006,327000,1,OAK,AL,32,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
75,bloomwi01,1977,2006,650000,1,SEA,AL,102,251,36,62,6,2,1,15,16,3,24,40,3,2,2,4,0
76,blumge01,1973,2006,650000,1,SDN,NL,109,276,27,70,17,1,4,34,0,1,17,51,5,4,2,0,1
77,bondeje01,1982,2006,2300000,1,DET,AL,34,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
78,bondsba01,1964,2006,19331470,1,SFN,NL,130,367,74,99,23,0,26,77,3,0,115,51,9,1,0,10,38
79,bookech01,1976,2006,350000,1,KCA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,bookech01,1976,2006,350000,2,WAS,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,booneaa01,1973,2006,3750000,1,CLE,AL,104,354,50,89,19,1,7,46,5,4,27,62,4,1,4,6,1
82,borchjo01,1978,2006,331000,1,SEA,AL,6,9,3,2,0,0,0,0,0,1,0,3,0,0,0,0,0
83,borchjo01,1978,2006,331000,2,FLO,NL,108,230,30,53,7,1,10,28,0,2,28,66,5,0,0,3,3
84,borowjo01,1971,2006,327000,1,FLO,NL,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,boyerbl01,1981,2006,336000,1,ATL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,bradfch01,1974,2006,1400000,1,NYN,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
