,name_common,PA,AB,H,X2B,X3B,HR,BB,SO,SF,HBP,batting_average,on_base_percentage,slugging_percentage,K_percentage,BB_percentage,ISO,BABIP,DiffSc
3616,Ben Zobrist,227,198,50,10,2,12,25,37,2,2,0.253,0.339,0.505,16.3,11.01,0.252,0.252,-0.856131643
1345,Alex Gordon,279,242,52,10,0,8,34,62,1,2,0.215,0.315,0.355,22.22,12.19,0.14,0.254,0.012867361
1862,Matt Carpenter,340,296,87,22,5,6,34,63,7,3,0.294,0.365,0.463,18.53,10,0.169,0.346,-0.808628879
1902,Josh Donaldson,294,274,66,16,0,9,14,61,1,5,0.241,0.289,0.398,20.75,4.76,0.157,0.278,0.594008167
2528,Logan Forsythe,334,301,67,12,1,6,25,71,4,4,0.223,0.287,0.329,21.26,7.49,0.106,0.268,0.869533437
1,Total,1474,1311,322,70,8,41,132,294,15,16,0.246,0.319,0.405,19.95,8.96,0.159,0.284,0
